site_id	url
bernama_com	https://www.bernama.com/en/world/
bhaskar_com	https://www.bhaskar.com/national/
birgun_net	https://www.birgun.net/kategori/guncel-7
bisnis_com	http://www.bisnis.com/
bk_mufg_jp	https://www.bk.mufg.jp/kigyou/index.html
bkn_go_id	https://www.bkn.go.id/publikasi/akuntabilitas-kinerja/rencana-kerja-bkn/
bnionline_net	https://www.bnionline.net/mm/news
boj_or_jp	https://www.boj.or.jp/mopo/outlook/index.htm
bolgegazetesi_com	https://www.bolgegazetesi.com/haber/politika
bolnews_com	https://www.bolnews.com/category/latest-news/
bolugundem_com	https://www.bolugundem.com/siyaset
bolununsesi_com	http://www.bolununsesi.com/haberler
brookings_edu	https://www.brookings.edu/topics/international-affairs/
brudirect_com	http://www.brudirect.com/result.php?title=&category=national-headline&subcategory=
bruegel_org	https://www.bruegel.org/topics
bssnews_net	https://www.bssnews.net/news
buenosairesherald_com	http://www.buenosairesherald.com/business
bulgaronline_com	https://www.bulgaronline.com/news
bundesregierung_de	https://www.bundesregierung.de/breg-de/bundesregierung
burasicanakkale_com	https://www.burasicanakkale.com.tr/kategori/40/siyaset/1
burmese_kachinnews_com	http://burmese.kachinnews.com/category/news/
burmese_monnews_org	https://burmese.monnews.org/category/news/
bursagundem_com	http://www.bursagundem.com/siyaset-haberleri/
businesstimes_com_sg	http://www.businesstimes.com.sg/singapore
buzzfeed_com	https://www.buzzfeed.com/in-the-news
bworldonline_com	http://www.bworldonline.com/top-stories/
cambodiadaily_com	https://www.cambodiadaily.com/category/news/
canakkaleolay_com	http://www.canakkaleolay.com/kategori/guncel
canaln_pe	https://canaln.pe/actualidad
cankirininsesi_com	https://www.cankirininsesi.com/category/uncategorized/
carnegie_ru	https://carnegie.ru/commentary/topic/52
carnegiecouncil_org	https://www.carnegiecouncil.org/initiatives-issues/emerging-technology
carnegieendowment_org	https://carnegieendowment.org/programs/africa
cartercenter_org	https://www.cartercenter.org/programs/peace/
cbc_ca	http://www.cbc.ca/news/world
cbsnews_com	http://www.cbsnews.com/world/
cctv_com	http://cctv.cntv.cn/NatureetScience/index.shtml
cdhowe_org	https://www.cdhowe.org/news
cei_org	https://cei.org/issues/capitalism/
centerforsecuritypolicy_org	http://www.centerforsecuritypolicy.org/category/homeland-security-and-counterterrorism/foodsecurity/
ceps_eu	https://www.ceps.eu/ceps-topics/
changiairport_com	http://www.changiairport.com/en/fly/flight-information.html
channelionline_com	https://www.channelionline.com/latest/
channelnewsasia_com	http://www.channelnewsasia.com/latest-news
china_com	http://military.china.com/refer/
chinapress_com_my	http://www.chinapress.com.my/category/%e5%9b%bd%e9%99%85/
chinatimes_com	https://www.chinatimes.com/realtimenews/
cigionline_org	https://www.cigionline.org/opinions/
cips_cepi_ca	https://www.cips-cepi.ca/category/news/
cis_mit_edu	https://cis.mit.edu/news-media
clingendael_org	https://www.clingendael.org/training-courses
cnnews_chosun_com	https://cnnews.chosun.com/client/news/lst.asp?cate=C01&mcate=M1003
cnnturk_com	https://www.cnnturk.com/dunya-haberleri/
coconuts_co	https://coconuts.co/bangkok/
conferenceboard_ca	https://www.signal49.ca/news-room
connexionfrance_com	https://www.connexionfrance.com/tag/news
cpd_org_au	https://cpd.org.au/news-media/
cpps_org_my	http://cpps.org.my/national-competitiveness/
